review_id,reviewer_id,question_id,candidate_label,prompt,reference,human_scoring_notes,response,response_status,accuracy,completeness,logic,safety,format,reason
179aef53aba61cda,reviewer_2,CODE-01,Candidate-01,"用Python实现函数 merge_intervals(intervals)，输入为若干[start,end]闭区间。合并所有重叠或端点相接区间，返回按起点升序的新列表；不得修改输入。只提交函数代码，可包含必要import。","{""complexity"": ""O(n log n)"", ""edge_cases"": [""empty"", ""touching"", ""nested"", ""input immutability""], ""function_signature"": ""def merge_intervals(intervals):""}",检查端点相接、嵌套、空输入和不修改原输入。,"```python
def merge_intervals(intervals):
    if not intervals:
        return []
    # 按照区间的起始位置进行排序
    intervals.sort(key=lambda x: x[0])
    merged = [intervals[0]]
    for interval in intervals[1:]:
        # 判断当前区间是否与merged中的最后一个区间有交集
        if interval[0] <= merged[-1][1]:
            # 有交集，则取两个区间的结束位置的最大值作为新的结束位置
            merged[-1][1] = max(merged[-1][1], interval[1])
        else:
            # 没有交集，则将当前区间加入到merged中
            merged.append(interval)
    return merged
```",completed,,,,,,
23a0158df2dc0f49,reviewer_2,CODE-01,Candidate-02,"用Python实现函数 merge_intervals(intervals)，输入为若干[start,end]闭区间。合并所有重叠或端点相接区间，返回按起点升序的新列表；不得修改输入。只提交函数代码，可包含必要import。","{""complexity"": ""O(n log n)"", ""edge_cases"": [""empty"", ""touching"", ""nested"", ""input immutability""], ""function_signature"": ""def merge_intervals(intervals):""}",检查端点相接、嵌套、空输入和不修改原输入。,"```python
def merge_intervals(intervals):
    if not intervals:
        return []
    
    # 按区间的起始位置排序
    intervals.sort(key=lambda x: x[0])
    
    merged = [intervals[0]]
    
    for current in intervals[1:]:
        last_merged = merged[-1]
        
        # 如果当前区间的起始位置在已合并区间的结束位置之前或等于，则有重叠
        if current[0] <= last_merged[1]:
            # 合并区间
            merged[-1] = [last_merged[0], max(last_merged[1], current[1])]
        else:
            # 无重叠，添加新区间
            merged.append(current)
    
    return merged
```",completed,,,,,,
4293a4cd3a5ae89a,reviewer_2,CODE-01,Candidate-03,"用Python实现函数 merge_intervals(intervals)，输入为若干[start,end]闭区间。合并所有重叠或端点相接区间，返回按起点升序的新列表；不得修改输入。只提交函数代码，可包含必要import。","{""complexity"": ""O(n log n)"", ""edge_cases"": [""empty"", ""touching"", ""nested"", ""input immutability""], ""function_signature"": ""def merge_intervals(intervals):""}",检查端点相接、嵌套、空输入和不修改原输入。,"```python
def merge_intervals(intervals):
    if not intervals:
        return []
    # 按照区间的起始位置进行排序
    intervals.sort(key=lambda x: x[0])
    merged = [intervals[0]]
    for interval in intervals[1:]:
        # 判断当前区间是否与merged中的最后一个区间有交集
        if interval[0] <= merged[-1][1]:
            # 有交集，则合并区间，取两个区间的结束位置的最大值作为新的结束位置
            merged[-1][1] = max(merged[-1][1], interval[1])
        else:
            # 没有交集，则将当前区间加入到merged中
            merged.append(interval)
    return merged
```",completed,,,,,,
8a60048bf8151385,reviewer_2,CODE-02,Candidate-01,用Python实现 first_unique_index(text)，返回字符串中第一个只出现一次的Unicode字符的索引；没有则返回-1。按Python字符索引计数，不按UTF-8字节。只提交函数代码。,"{""complexity"": ""O(n)"", ""edge_cases"": [""empty"", ""Unicode"", ""no unique""], ""function_signature"": ""def first_unique_index(text):""}",不应按字节处理Unicode。,def first_unique_index(text):,completed,,,,,,
0af5731b05c361a4,reviewer_2,CODE-02,Candidate-02,用Python实现 first_unique_index(text)，返回字符串中第一个只出现一次的Unicode字符的索引；没有则返回-1。按Python字符索引计数，不按UTF-8字节。只提交函数代码。,"{""complexity"": ""O(n)"", ""edge_cases"": [""empty"", ""Unicode"", ""no unique""], ""function_signature"": ""def first_unique_index(text):""}",不应按字节处理Unicode。,"```python
def first_unique_index(text):
    char_count = {}
    for i, char in enumerate(text):
        if char in char_count:
            char_count[char] = -1
        else:
            char_count[char] = i
    
    for i, char in enumerate(text):
        if char_count[char] != -1:
            return char_count[char]
    
    return -1
```",completed,,,,,,
ac38cd90691c1410,reviewer_2,CODE-02,Candidate-03,用Python实现 first_unique_index(text)，返回字符串中第一个只出现一次的Unicode字符的索引；没有则返回-1。按Python字符索引计数，不按UTF-8字节。只提交函数代码。,"{""complexity"": ""O(n)"", ""edge_cases"": [""empty"", ""Unicode"", ""no unique""], ""function_signature"": ""def first_unique_index(text):""}",不应按字节处理Unicode。,def first_unique_index(text):,completed,,,,,,
a368e0ca2b3ad309,reviewer_2,CODE-03,Candidate-01,"用Python实现 topo_sort(nodes, edges)。nodes是唯一节点列表，edges是(u,v)表示u必须在v之前。返回一个合法拓扑序；若有环或边包含未知节点，抛出ValueError。为保证可复现，当多个节点同时可选时按str(node)字典序选择。只提交函数代码，可包含必要import。","{""algorithm"": ""Kahn with deterministic priority"", ""edge_cases"": [""cycle"", ""unknown node"", ""deterministic tie""], ""function_signature"": ""def topo_sort(nodes, edges):""}",检查确定性、环检测和未知节点验证。,"```python
from collections import defaultdict

def topo_sort(nodes, edges):
    if not nodes or not edges:
        raise ValueError(""Nodes and edges cannot be empty"")

    # 构建图和入度表
    graph = defaultdict(set)
    in_degree = {node: 0 for node in nodes}

    for u, v in edges:
        if u not in nodes or v not in nodes:
            raise ValueError(""Unknown node found in edges"")
        graph[u].add(v)
        in_degree[v] += 1

    # 找到所有入度为0的节点
    zero_in_degree_nodes = [node for node in nodes if in_degree[node] == 0]

    # 拓扑排序结果
    top_order = []

    while zero_in_degree_nodes:
        # 选择字典序最小的节点
        current_node = min(zero_in_degree_nodes)
        top_order.append(current_node)

        for neighbor in graph[current_node]:
            in_degree[neighbor] -= 1
            if in_degree[neighbor] == 0:
                zero_in_degree_nodes.append(neighbor)

        zero_in_degree_nodes.remove(current_node)

    # 检查是否有环
    if len(top_order) != len(nodes):
        raise ValueError(""Cycle detected in the graph"")

    return top_order
```",completed,,,,,,
b7a06e4bef1abaec,reviewer_2,CODE-03,Candidate-02,"用Python实现 topo_sort(nodes, edges)。nodes是唯一节点列表，edges是(u,v)表示u必须在v之前。返回一个合法拓扑序；若有环或边包含未知节点，抛出ValueError。为保证可复现，当多个节点同时可选时按str(node)字典序选择。只提交函数代码，可包含必要import。","{""algorithm"": ""Kahn with deterministic priority"", ""edge_cases"": [""cycle"", ""unknown node"", ""deterministic tie""], ""function_signature"": ""def topo_sort(nodes, edges):""}",检查确定性、环检测和未知节点验证。,"```python
from collections import defaultdict

def topo_sort(nodes, edges):
    if not nodes or not edges:
        raise ValueError(""Invalid input"")

    # 构建图
    graph = defaultdict(list)
    in_degree = {node: 0 for node in nodes}

    for u, v in edges:
        if u not in nodes or v not in nodes:
            raise ValueError(""Unknown node"")
        graph[u].append(v)
        in_degree[v] += 1

    # 找出所有入度为0的节点
    queue = [node for node in nodes if in_degree[node] == 0]

    # 拓扑排序
    result = []
    while queue:
        if len(queue) > 1:
            # 选择字典序最小的节点
            node = sorted(queue)[0]
        else:
            node = queue[0]
        result.append(node)

        for neighbor in graph[node]:
            in_degree[neighbor] -= 1
            if in_degree[neighbor] == 0:
                queue.append(neighbor)
        queue.remove(node)

    # 检查是否有环
    if len(result) != len(nodes):
        raise ValueError(""Cycle detected"")

    return result
```",completed,,,,,,
cce0a76c96d969cd,reviewer_2,CODE-03,Candidate-03,"用Python实现 topo_sort(nodes, edges)。nodes是唯一节点列表，edges是(u,v)表示u必须在v之前。返回一个合法拓扑序；若有环或边包含未知节点，抛出ValueError。为保证可复现，当多个节点同时可选时按str(node)字典序选择。只提交函数代码，可包含必要import。","{""algorithm"": ""Kahn with deterministic priority"", ""edge_cases"": [""cycle"", ""unknown node"", ""deterministic tie""], ""function_signature"": ""def topo_sort(nodes, edges):""}",检查确定性、环检测和未知节点验证。,"```python
from collections import defaultdict

def topo_sort(nodes, edges):
    if not nodes or not edges:
        raise ValueError(""Invalid input"")

    # 构建图
    graph = defaultdict(list)
    in_degree = {node: 0 for node in nodes}

    for u, v in edges:
        if u not in nodes or v not in nodes:
            raise ValueError(""Unknown node"")
        graph[u].append(v)
        in_degree[v] += 1

    # 找出所有入度为0的节点
    queue = [node for node in nodes if in_degree[node] == 0]

    # 拓扑排序
    result = []
    while queue:
        if len(queue) > 1:
            # 当前有多个节点可选，按str(node)字典序选择
            queue.sort()
            node = queue[0]
        else:
            node = queue.pop(0)
        result.append(node)

        for neighbor in graph[node]:
            in_degree[neighbor] -= 1
            if in_degree[neighbor] == 0:
                queue.append(neighbor)

    # 检查是否有环
    if len(result) != len(nodes):
        raise ValueError(""Cycle detected"")

    return result
```",completed,,,,,,
a8c419c444ff28b3,reviewer_2,CODE-04,Candidate-01,"用Python实现 safe_join(base, user_path)，返回规范化后的绝对路径。结果必须仍位于base目录内部；拒绝绝对user_path、..逃逸，以及解析后等于base本身的路径，拒绝时抛ValueError。不要访问文件系统，不要调用resolve()。只提交函数代码，可包含必要import。","{""function_signature"": ""def safe_join(base, user_path):"", ""security"": [""reject absolute"", ""reject traversal"", ""commonpath boundary"", ""no filesystem access""]}",这是安全题；字符串startswith不足以防止/srv/data2绕过。,"```python
def safe_join(base, user_path):
    if not base.endswith('/'):
        base += '/'
    
    # 分割base和user_path
    base_parts = base.split('/')
    user_parts = user_path.split('/')
    
    # 去除空字符串
    base_parts = [part for part in base_parts if part]
    user_parts = [part for part in user_parts if part]
    
    # 检查是否为绝对路径或尝试逃逸
    if user_parts[0] == '' or '..' in user_parts:
        raise ValueError(""Invalid path"")
    
    # 构建新路径
    new_path_parts = base_parts[:-1] + user_parts
    
    # 检查新路径是否仍然在base目录内
    if new_path_parts[-1] == '':
        new_path_parts.pop()
    
    # 构建并返回规范化后的绝对路径
    return '/'.join(new_path_parts)
```

此函数首先检查`base`是否以斜杠结尾，并添加一个斜杠以便后续处理。然后，它将`base`和`user_path`分割成部分，并去除空字符串。接着，它检查`user_path`是否为绝对路径或尝试逃逸到父目录。如果这些条件都不满足，则构建新的路径部分，并确保最终路径不指向`base`本身。最后，返回规范化后的绝对路径。如果检测到无效路径，则抛出`ValueError`。",completed,,,,,,
