model,question_id,check_type,ai_score,review_flags,automatic_evidence
original_base,MATH-01,numeric,4.9,,"{""status"": ""checked"", ""passed"": true, ""observed"": 202.0, ""expected"": 202.0, ""tolerance"": 0.0}"
original_base,MATH-02,numeric,3.5,numeric_final_mismatch,"{""status"": ""checked"", ""passed"": false, ""observed"": 0.285714, ""expected"": 0.333333, ""tolerance"": 1e-06}"
original_base,MATH-03,numeric,4.9,,"{""status"": ""checked"", ""passed"": true, ""observed"": 40.0, ""expected"": 40.0, ""tolerance"": 0.0}"
original_base,MATH-04,numeric,1.3,numeric_final_mismatch,"{""status"": ""checked"", ""passed"": false, ""observed"": 4.0, ""expected"": 42.0, ""tolerance"": 0.0}"
original_base,MATH-05,numeric,3.9,numeric_final_mismatch;ambiguous_question_do_not_rank_from_this_item,"{""status"": ""checked"", ""passed"": false, ""observed"": 115.0, ""expected"": 230.0, ""tolerance"": 0.0}"
original_base,MATH-06,numeric,5.0,,"{""status"": ""checked"", ""passed"": true, ""observed"": 1.833333, ""expected"": 1.833333, ""tolerance"": 1e-06}"
original_base,MATH-07,numeric,5.0,,"{""status"": ""checked"", ""passed"": true, ""observed"": 5.333333, ""expected"": 5.333333, ""tolerance"": 1e-06}"
original_base,REASON-01,required_terms,5.0,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, true, false, false, false]}"
original_base,REASON-02,required_terms,2.5,,"{""status"": ""checked"", ""passed"": true, ""group_results"": [true, true, true]}"
original_base,REASON-03,required_terms,3.5,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, true, false, true]}"
original_base,REASON-04,required_terms,5.0,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, true, true, false, true]}"
original_base,REASON-05,required_terms,4.7,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [true, false, false, true, true]}"
original_base,REASON-06,format,5.0,,"{""status"": ""checked"", ""passed"": false, ""pattern_results"": [true, false, true]}"
original_base,REASON-07,required_terms,1.5,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, false, true, true, true]}"
original_base,CODE-01,python_tests,3.9,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
original_base,CODE-02,python_tests,4.9,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
original_base,CODE-03,python_tests,3.45,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
original_base,CODE-04,python_tests,1.6,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
original_base,CODE-05,python_tests,5.0,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
original_base,CODE-06,python_tests,5.0,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
final_sft,MATH-01,numeric,5.0,,"{""status"": ""checked"", ""passed"": true, ""observed"": 202.0, ""expected"": 202.0, ""tolerance"": 0.0}"
final_sft,MATH-02,numeric,3.0,numeric_final_mismatch,"{""status"": ""checked"", ""passed"": false, ""observed"": 0.285714, ""expected"": 0.333333, ""tolerance"": 1e-06}"
final_sft,MATH-03,numeric,4.5,,"{""status"": ""checked"", ""passed"": true, ""observed"": 40.0, ""expected"": 40.0, ""tolerance"": 0.0}"
final_sft,MATH-04,numeric,2.7,numeric_final_mismatch,"{""status"": ""checked"", ""passed"": false, ""observed"": 64.0, ""expected"": 42.0, ""tolerance"": 0.0}"
final_sft,MATH-05,numeric,3.2,numeric_final_mismatch;ambiguous_question_do_not_rank_from_this_item,"{""status"": ""checked"", ""passed"": false, ""observed"": 97.0, ""expected"": 230.0, ""tolerance"": 0.0}"
final_sft,MATH-06,numeric,4.2,numeric_final_mismatch,"{""status"": ""checked"", ""passed"": false, ""observed"": 0.185185, ""expected"": 1.833333, ""tolerance"": 1e-06}"
final_sft,MATH-07,numeric,4.0,numeric_final_mismatch,"{""status"": ""checked"", ""passed"": false, ""observed"": 0.533333, ""expected"": 5.333333, ""tolerance"": 1e-06}"
final_sft,REASON-01,required_terms,5.0,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, true, false, false, false]}"
final_sft,REASON-02,required_terms,2.7,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, false, true]}"
final_sft,REASON-03,required_terms,3.8,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, true, false, true]}"
final_sft,REASON-04,required_terms,4.75,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, true, true, true, false]}"
final_sft,REASON-05,required_terms,5.0,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [true, false, true, true, false]}"
final_sft,REASON-06,format,5.0,,"{""status"": ""checked"", ""passed"": false, ""pattern_results"": [true, false, true]}"
final_sft,REASON-07,required_terms,4.3,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, false, false, true, true]}"
final_sft,CODE-01,python_tests,3.9,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
final_sft,CODE-02,python_tests,1.25,invalid_python_syntax;code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""invalid"", ""syntax_error"": {""type"": ""IndentationError"", ""line"": 1, ""message"": ""expected an indented block after function definition on line 1""}}"
final_sft,CODE-03,python_tests,3.45,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
