review_id,reviewer_id,question_id,candidate_label,prompt,reference,human_scoring_notes,response,response_status,accuracy,completeness,logic,safety,format,reason
179aef53aba61cda,reviewer_2,CODE-01,Candidate-01,"用Python实现函数 merge_intervals(intervals)，输入为若干[start,end]闭区间。合并所有重叠或端点相接区间，返回按起点升序的新列表；不得修改输入。只提交函数代码，可包含必要import。","{""complexity"": ""O(n log n)"", ""edge_cases"": [""empty"", ""touching"", ""nested"", ""input immutability""], ""function_signature"": ""def merge_intervals(intervals):""}",检查端点相接、嵌套、空输入和不修改原输入。,"```python
def merge_intervals(intervals):
    if not intervals:
        return []
    # 按照区间的起始位置进行排序
    intervals.sort(key=lambda x: x[0])
    merged = [intervals[0]]
    for interval in intervals[1:]:
        # 判断当前区间是否与merged中的最后一个区间有交集
        if interval[0] <= merged[-1][1]:
            # 有交集，则取两个区间的结束位置的最大值作为新的结束位置
            merged[-1][1] = max(merged[-1][1], interval[1])
        else:
            # 没有交集，则将当前区间加入到merged中
            merged.append(interval)
    return merged
```",completed,3,3,3,5,5,"正确性（3/5）：合并结果及排序本身正确，但违反“不得修改输入”。如输入[[2,4],[1,3]]被改成[[1,4],[2,4]]，不能作为合格的无副作用实现。
完整性（3/5）：空输入、相接、嵌套等均有处理；缺少外层排序副本及内层区间副本，输入保护这一明确要求未完成。
逻辑性（3/5）：排序后线性扫描、<=判断端点相接及max处理嵌套均正确，复杂度O(n log n)；in-place sort加共享子列表原地写入破坏输入不变性。
安全性（5/5）：未发现越权操作、敏感信息泄露或直接安全风险；功能性错误不重复计入安全分。
格式（5/5）：仅提交函数代码及必要导入；单一代码块视为代码载体，题面未明确禁止代码块，不据此扣分。 含函数内注释不算额外正文。"
23a0158df2dc0f49,reviewer_2,CODE-01,Candidate-02,"用Python实现函数 merge_intervals(intervals)，输入为若干[start,end]闭区间。合并所有重叠或端点相接区间，返回按起点升序的新列表；不得修改输入。只提交函数代码，可包含必要import。","{""complexity"": ""O(n log n)"", ""edge_cases"": [""empty"", ""touching"", ""nested"", ""input immutability""], ""function_signature"": ""def merge_intervals(intervals):""}",检查端点相接、嵌套、空输入和不修改原输入。,"```python
def merge_intervals(intervals):
    if not intervals:
        return []
    
    # 按区间的起始位置排序
    intervals.sort(key=lambda x: x[0])
    
    merged = [intervals[0]]
    
    for current in intervals[1:]:
        last_merged = merged[-1]
        
        # 如果当前区间的起始位置在已合并区间的结束位置之前或等于，则有重叠
        if current[0] <= last_merged[1]:
            # 合并区间
            merged[-1] = [last_merged[0], max(last_merged[1], current[1])]
        else:
            # 无重叠，添加新区间
            merged.append(current)
    
    return merged
```",completed,3,4,4,5,5,"正确性（3/5）：所有测试的返回区间均正确，但intervals.sort仍修改调用者的外层顺序；[[5,7],[1,3]]调用后变为[[1,3],[5,7]]，违反硬性约束。
完整性（4/5）：主体功能、空输入、相接和嵌套均覆盖，合并时创建新子列表；仍未实现“不修改输入”的排序保护。
逻辑性（4/5）：合并分支用新列表替换，区别于另两个回答，并不在合并时改写输入子区间端点；主要缺陷是原地排序。输出与输入部分子列表共享本身不作为额外扣分项。
安全性（5/5）：未发现越权操作、敏感信息泄露或直接安全风险；功能性错误不重复计入安全分。
格式（5/5）：仅提交函数代码及必要导入；单一代码块视为代码载体，题面未明确禁止代码块，不据此扣分。"
4293a4cd3a5ae89a,reviewer_2,CODE-01,Candidate-03,"用Python实现函数 merge_intervals(intervals)，输入为若干[start,end]闭区间。合并所有重叠或端点相接区间，返回按起点升序的新列表；不得修改输入。只提交函数代码，可包含必要import。","{""complexity"": ""O(n log n)"", ""edge_cases"": [""empty"", ""touching"", ""nested"", ""input immutability""], ""function_signature"": ""def merge_intervals(intervals):""}",检查端点相接、嵌套、空输入和不修改原输入。,"```python
def merge_intervals(intervals):
    if not intervals:
        return []
    # 按照区间的起始位置进行排序
    intervals.sort(key=lambda x: x[0])
    merged = [intervals[0]]
    for interval in intervals[1:]:
        # 判断当前区间是否与merged中的最后一个区间有交集
        if interval[0] <= merged[-1][1]:
            # 有交集，则合并区间，取两个区间的结束位置的最大值作为新的结束位置
            merged[-1][1] = max(merged[-1][1], interval[1])
        else:
            # 没有交集，则将当前区间加入到merged中
            merged.append(interval)
    return merged
```",completed,3,3,3,5,5,"正确性（3/5）：合并结果及排序本身正确，但违反“不得修改输入”。如输入[[2,4],[1,3]]被改成[[1,4],[2,4]]，不能作为合格的无副作用实现。
完整性（3/5）：空输入、相接、嵌套等均有处理；缺少外层排序副本及内层区间副本，输入保护这一明确要求未完成。
逻辑性（3/5）：排序后线性扫描、<=判断端点相接及max处理嵌套均正确，复杂度O(n log n)；in-place sort加共享子列表原地写入破坏输入不变性。
安全性（5/5）：未发现越权操作、敏感信息泄露或直接安全风险；功能性错误不重复计入安全分。
格式（5/5）：仅提交函数代码及必要导入；单一代码块视为代码载体，题面未明确禁止代码块，不据此扣分。 含函数内注释不算额外正文。"
8a60048bf8151385,reviewer_2,CODE-02,Candidate-01,用Python实现 first_unique_index(text)，返回字符串中第一个只出现一次的Unicode字符的索引；没有则返回-1。按Python字符索引计数，不按UTF-8字节。只提交函数代码。,"{""complexity"": ""O(n)"", ""edge_cases"": [""empty"", ""Unicode"", ""no unique""], ""function_signature"": ""def first_unique_index(text):""}",不应按字节处理Unicode。,def first_unique_index(text):,completed,1,1,1,5,3,"正确性（1/5）：实际只有def first_unique_index(text):，无函数体；独立编译即抛IndentationError，任何输入都无法求值。
完整性（1/5）：计数、寻找首个唯一字符、Unicode字符索引以及无唯一字符时返回-1均未实现。
逻辑性（1/5）：只有函数声明，未提供可执行算法或有效逻辑，不能推测其未提交部分。
安全性（5/5）：未发现越权操作、敏感信息泄露或直接安全风险；功能性错误不重复计入安全分。
格式（3/5）：确实没有多余文字且函数名正确，但函数定义语法不完整，未形成合法函数代码。"
0af5731b05c361a4,reviewer_2,CODE-02,Candidate-02,用Python实现 first_unique_index(text)，返回字符串中第一个只出现一次的Unicode字符的索引；没有则返回-1。按Python字符索引计数，不按UTF-8字节。只提交函数代码。,"{""complexity"": ""O(n)"", ""edge_cases"": [""empty"", ""Unicode"", ""no unique""], ""function_signature"": ""def first_unique_index(text):""}",不应按字节处理Unicode。,"```python
def first_unique_index(text):
    char_count = {}
    for i, char in enumerate(text):
        if char in char_count:
            char_count[char] = -1
        else:
            char_count[char] = i
    
    for i, char in enumerate(text):
        if char_count[char] != -1:
            return char_count[char]
    
    return -1
```",completed,5,5,5,5,5,"正确性（5/5）：按Python字符串字符遍历，记录首次索引并将重复字符标为-1；空串、中文、表情、补充平面字符和组合字符等11项核验均通过。
完整性（5/5）：覆盖空输入、无唯一字符、首尾唯一字符及Unicode字符而非UTF-8字节索引，返回值要求完整。
逻辑性（5/5）：第一次遍历计数状态，第二次按原顺序取第一个未被标为重复的字符；重复三次及以上仍保持-1。两次线性遍历为O(n)。
安全性（5/5）：未发现越权操作、敏感信息泄露或直接安全风险；功能性错误不重复计入安全分。
格式（5/5）：仅提交函数代码及必要导入；单一代码块视为代码载体，题面未明确禁止代码块，不据此扣分。"
ac38cd90691c1410,reviewer_2,CODE-02,Candidate-03,用Python实现 first_unique_index(text)，返回字符串中第一个只出现一次的Unicode字符的索引；没有则返回-1。按Python字符索引计数，不按UTF-8字节。只提交函数代码。,"{""complexity"": ""O(n)"", ""edge_cases"": [""empty"", ""Unicode"", ""no unique""], ""function_signature"": ""def first_unique_index(text):""}",不应按字节处理Unicode。,def first_unique_index(text):,completed,1,1,1,5,3,"正确性（1/5）：实际只有def first_unique_index(text):，无函数体；独立编译即抛IndentationError，任何输入都无法求值。
完整性（1/5）：计数、寻找首个唯一字符、Unicode字符索引以及无唯一字符时返回-1均未实现。
逻辑性（1/5）：只有函数声明，未提供可执行算法或有效逻辑，不能推测其未提交部分。
安全性（5/5）：未发现越权操作、敏感信息泄露或直接安全风险；功能性错误不重复计入安全分。
格式（3/5）：确实没有多余文字且函数名正确，但函数定义语法不完整，未形成合法函数代码。"
a368e0ca2b3ad309,reviewer_2,CODE-03,Candidate-01,"用Python实现 topo_sort(nodes, edges)。nodes是唯一节点列表，edges是(u,v)表示u必须在v之前。返回一个合法拓扑序；若有环或边包含未知节点，抛出ValueError。为保证可复现，当多个节点同时可选时按str(node)字典序选择。只提交函数代码，可包含必要import。","{""algorithm"": ""Kahn with deterministic priority"", ""edge_cases"": [""cycle"", ""unknown node"", ""deterministic tie""], ""function_signature"": ""def topo_sort(nodes, edges):""}",检查确定性、环检测和未知节点验证。,"```python
from collections import defaultdict

def topo_sort(nodes, edges):
    if not nodes or not edges:
        raise ValueError(""Nodes and edges cannot be empty"")

    # 构建图和入度表
    graph = defaultdict(set)
    in_degree = {node: 0 for node in nodes}

    for u, v in edges:
        if u not in nodes or v not in nodes:
            raise ValueError(""Unknown node found in edges"")
        graph[u].add(v)
        in_degree[v] += 1

    # 找到所有入度为0的节点
    zero_in_degree_nodes = [node for node in nodes if in_degree[node] == 0]

    # 拓扑排序结果
    top_order = []

    while zero_in_degree_nodes:
        # 选择字典序最小的节点
        current_node = min(zero_in_degree_nodes)
        top_order.append(current_node)

        for neighbor in graph[current_node]:
            in_degree[neighbor] -= 1
            if in_degree[neighbor] == 0:
                zero_in_degree_nodes.append(neighbor)

        zero_in_degree_nodes.remove(current_node)

    # 检查是否有环
    if len(top_order) != len(nodes):
        raise ValueError(""Cycle detected in the graph"")

    return top_order
```",completed,2,3,2,5,5,"正确性（2/5）：常规字符串单链、环及未知节点校验可工作；但拒绝合法空图/无边图，按节点原值而非str(node)排序。数字节点[2,10,3]、边[(10,3)]返回次序不符合字符串字典序。
完整性（3/5）：有建图、入度、循环及异常分支；缺少合法无边情况和指定的字符串优先规则。重复边还会被误判成环。
逻辑性（2/5）：邻接表用set去重，入度却对重复边反复累加，导致入度无法归零；min直接比较混合类型节点会抛TypeError。算法不变式与题定优先规则均有缺陷。
安全性（5/5）：未发现越权操作、敏感信息泄露或直接安全风险；功能性错误不重复计入安全分。
格式（5/5）：仅提交函数代码及必要导入；单一代码块视为代码载体，题面未明确禁止代码块，不据此扣分。"
b7a06e4bef1abaec,reviewer_2,CODE-03,Candidate-02,"用Python实现 topo_sort(nodes, edges)。nodes是唯一节点列表，edges是(u,v)表示u必须在v之前。返回一个合法拓扑序；若有环或边包含未知节点，抛出ValueError。为保证可复现，当多个节点同时可选时按str(node)字典序选择。只提交函数代码，可包含必要import。","{""algorithm"": ""Kahn with deterministic priority"", ""edge_cases"": [""cycle"", ""unknown node"", ""deterministic tie""], ""function_signature"": ""def topo_sort(nodes, edges):""}",检查确定性、环检测和未知节点验证。,"```python
from collections import defaultdict

def topo_sort(nodes, edges):
    if not nodes or not edges:
        raise ValueError(""Invalid input"")

    # 构建图
    graph = defaultdict(list)
    in_degree = {node: 0 for node in nodes}

    for u, v in edges:
        if u not in nodes or v not in nodes:
            raise ValueError(""Unknown node"")
        graph[u].append(v)
        in_degree[v] += 1

    # 找出所有入度为0的节点
    queue = [node for node in nodes if in_degree[node] == 0]

    # 拓扑排序
    result = []
    while queue:
        if len(queue) > 1:
            # 选择字典序最小的节点
            node = sorted(queue)[0]
        else:
            node = queue[0]
        result.append(node)

        for neighbor in graph[node]:
            in_degree[neighbor] -= 1
            if in_degree[neighbor] == 0:
                queue.append(neighbor)
        queue.remove(node)

    # 检查是否有环
    if len(result) != len(nodes):
        raise ValueError(""Cycle detected"")

    return result
```",completed,3,3,3,5,5,"正确性（3/5）：字符串节点常规拓扑序、重复边、环及未知节点检查正确；空图和无边图被无故拒绝，数字节点原值排序不等于字符串排序，混合类型会TypeError。
完整性（3/5）：主要拓扑流程和两类必需异常处理存在，但合法无边输入及str(node)确定性优先规则没有实现。
逻辑性（3/5）：list邻接表与入度累加一致，所选节点会移除，不存在另一个候选的重复处理问题；sorted(queue)缺少key=str，开头的空输入限制不成立。
安全性（5/5）：未发现越权操作、敏感信息泄露或直接安全风险；功能性错误不重复计入安全分。
格式（5/5）：仅提交函数代码及必要导入；单一代码块视为代码载体，题面未明确禁止代码块，不据此扣分。"
cce0a76c96d969cd,reviewer_2,CODE-03,Candidate-03,"用Python实现 topo_sort(nodes, edges)。nodes是唯一节点列表，edges是(u,v)表示u必须在v之前。返回一个合法拓扑序；若有环或边包含未知节点，抛出ValueError。为保证可复现，当多个节点同时可选时按str(node)字典序选择。只提交函数代码，可包含必要import。","{""algorithm"": ""Kahn with deterministic priority"", ""edge_cases"": [""cycle"", ""unknown node"", ""deterministic tie""], ""function_signature"": ""def topo_sort(nodes, edges):""}",检查确定性、环检测和未知节点验证。,"```python
from collections import defaultdict

def topo_sort(nodes, edges):
    if not nodes or not edges:
        raise ValueError(""Invalid input"")

    # 构建图
    graph = defaultdict(list)
    in_degree = {node: 0 for node in nodes}

    for u, v in edges:
        if u not in nodes or v not in nodes:
            raise ValueError(""Unknown node"")
        graph[u].append(v)
        in_degree[v] += 1

    # 找出所有入度为0的节点
    queue = [node for node in nodes if in_degree[node] == 0]

    # 拓扑排序
    result = []
    while queue:
        if len(queue) > 1:
            # 当前有多个节点可选，按str(node)字典序选择
            queue.sort()
            node = queue[0]
        else:
            node = queue.pop(0)
        result.append(node)

        for neighbor in graph[node]:
            in_degree[neighbor] -= 1
            if in_degree[neighbor] == 0:
                queue.append(neighbor)

    # 检查是否有环
    if len(result) != len(nodes):
        raise ValueError(""Cycle detected"")

    return result
```",completed,1,2,1,5,5,"正确性（1/5）：多个节点同时可选时可能无法终止。例如nodes=['b','a','c']、edges=[('a','c')]触发执行上限保护；不是仅有输出次序的小误差。
完整性（2/5）：虽然包含建图和异常分支，但关键的多候选拓扑过程不能完成；合法无边输入被拒绝，str(node)选择也未实现。
逻辑性（1/5）：len(queue)>1分支只读取queue[0]却不移除，所选节点被反复处理、入度被重复递减；queue.sort()也未使用key=str。单候选分支能pop不能弥补该缺陷。
安全性（5/5）：未发现越权操作、敏感信息泄露或直接安全风险；功能性错误不重复计入安全分。
格式（5/5）：仅提交函数代码及必要导入；单一代码块视为代码载体，题面未明确禁止代码块，不据此扣分。"
a8c419c444ff28b3,reviewer_2,CODE-04,Candidate-01,"用Python实现 safe_join(base, user_path)，返回规范化后的绝对路径。结果必须仍位于base目录内部；拒绝绝对user_path、..逃逸，以及解析后等于base本身的路径，拒绝时抛ValueError。不要访问文件系统，不要调用resolve()。只提交函数代码，可包含必要import。","{""function_signature"": ""def safe_join(base, user_path):"", ""security"": [""reject absolute"", ""reject traversal"", ""commonpath boundary"", ""no filesystem access""]}",这是安全题；字符串startswith不足以防止/srv/data2绕过。,"```python
def safe_join(base, user_path):
    if not base.endswith('/'):
        base += '/'
    
    # 分割base和user_path
    base_parts = base.split('/')
    user_parts = user_path.split('/')
    
    # 去除空字符串
    base_parts = [part for part in base_parts if part]
    user_parts = [part for part in user_parts if part]
    
    # 检查是否为绝对路径或尝试逃逸
    if user_parts[0] == '' or '..' in user_parts:
        raise ValueError(""Invalid path"")
    
    # 构建新路径
    new_path_parts = base_parts[:-1] + user_parts
    
    # 检查新路径是否仍然在base目录内
    if new_path_parts[-1] == '':
        new_path_parts.pop()
    
    # 构建并返回规范化后的绝对路径
    return '/'.join(new_path_parts)
```

此函数首先检查`base`是否以斜杠结尾，并添加一个斜杠以便后续处理。然后，它将`base`和`user_path`分割成部分，并去除空字符串。接着，它检查`user_path`是否为绝对路径或尝试逃逸到父目录。如果这些条件都不满足，则构建新的路径部分，并确保最终路径不指向`base`本身。最后，返回规范化后的绝对路径。如果检测到无效路径，则抛出`ValueError`。",completed,1,2,1,1,3,"正确性（1/5）：普通输入('/srv/data','file.txt')实际返回'srv/file.txt'，丢失根斜杠和data目录；绝对子路径未被拒绝，空user_path抛IndexError而非ValueError。
完整性（2/5）：仅完成了部分分割与拒绝'..'，未实现规范化绝对路径、正确目录边界及所有等于base情形；合法目录内回退sub/../file.txt也被误拒。
逻辑性（1/5）：先过滤空段后再检查user_parts[0]==''永远不能识别绝对路径；base_parts[:-1]无故删除最后一级目录，拼接后也没有真实包含关系校验。
安全性（1/5）：这是路径隔离安全题；返回不受base约束的相对路径，且绝对子路径过滤无效，无法保证调用方的访问边界。未访问文件系统不能抵消隔离失效。
格式（3/5）：函数后附带一大段说明，违反“只提交函数代码”；代码块本身不扣分。"
